heart_rate,spo2,temperature,blood_pressure,tip
123.4,97.2,38.6,143/91,You are overheating. Rest and hydrate.
83.5,89.5,38.2,115/76,🚨 Emergency! Call for help.
114.2,97.8,38.2,140/94,You are overheating. Rest and hydrate.
95.9,89.2,38.9,121/71,🚨 Emergency! Call for help.
81.1,90.3,38.9,130/80,Low SpO2. Do deep breathing or go outside.
94.0,89.1,39.0,130/77,🚨 Emergency! Call for help.
81.7,89.4,36.6,120/75,🚨 Emergency! Call for help.
109.5,96.8,38.8,125/72,You are overheating. Rest and hydrate.
82.4,90.2,36.9,111/82,Low SpO2. Do deep breathing or go outside.
124.1,91.0,38.1,156/89,You are overheating. Rest and hydrate.
108.7,95.7,38.3,130/74,You are overheating. Rest and hydrate.
103.5,88.1,38.2,117/80,🚨 Emergency! Call for help.
91.4,89.8,38.9,115/85,🚨 Emergency! Call for help.
115.1,86.1,38.4,136/95,🚨 Emergency! Call for help.
115.9,93.4,36.5,136/92,Low SpO2. Do deep breathing or go outside.
70.6,93.9,37.3,120/79,Low SpO2. Do deep breathing or go outside.
116.2,98.3,38.0,147/98,You are overheating. Rest and hydrate.
66.0,89.6,38.3,115/81,🚨 Emergency! Call for help.
55.8,97.3,38.5,99/68,Slight fever. Drink water and avoid stress.
63.2,93.7,38.4,129/78,Low SpO2. Do deep breathing or go outside.
63.0,98.7,36.1,120/76,All good. Stay healthy!
102.1,90.7,35.8,123/77,Low SpO2. Do deep breathing or go outside.
57.0,95.5,36.4,92/66,All good. Stay healthy!
103.8,89.5,36.8,115/76,🚨 Emergency! Call for help.
94.5,99.6,37.4,119/80,All good. Stay healthy!
116.2,92.8,37.4,141/91,Low SpO2. Do deep breathing or go outside.
81.9,92.6,36.7,129/85,Low SpO2. Do deep breathing or go outside.
120.9,88.6,36.3,149/90,🚨 Emergency! Call for help.
92.5,88.7,38.8,116/79,🚨 Emergency! Call for help.
128.9,85.8,38.6,154/88,🚨 Emergency! Call for help.
91.3,86.3,36.8,123/77,🚨 Emergency! Call for help.
72.5,97.7,36.2,128/83,All good. Stay healthy!
119.4,98.5,38.4,144/99,You are overheating. Rest and hydrate.
102.7,92.8,36.1,110/84,Low SpO2. Do deep breathing or go outside.
104.3,94.6,36.3,122/83,Elevated heart rate. Take a walk or rest.
121.9,86.7,38.8,145/92,🚨 Emergency! Call for help.
115.8,87.1,35.7,137/86,🚨 Emergency! Call for help.
82.8,93.9,36.8,114/82,Low SpO2. Do deep breathing or go outside.
66.6,93.3,35.8,127/77,Low SpO2. Do deep breathing or go outside.
82.6,94.1,36.1,119/76,All good. Stay healthy!
94.6,90.8,36.7,122/80,Low SpO2. Do deep breathing or go outside.
88.6,98.2,39.0,124/73,Slight fever. Drink water and avoid stress.
97.0,94.1,38.7,118/77,Slight fever. Drink water and avoid stress.
93.6,99.9,36.3,126/70,All good. Stay healthy!
57.3,96.9,37.9,96/66,Slight fever. Drink water and avoid stress.
128.9,99.6,36.9,150/86,Elevated heart rate. Take a walk or rest.
63.7,98.1,37.3,122/75,All good. Stay healthy!
114.4,98.3,37.7,151/87,Elevated heart rate. Take a walk or rest.
126.8,90.9,38.4,151/85,You are overheating. Rest and hydrate.
74.8,88.0,35.7,129/75,🚨 Emergency! Call for help.
76.1,92.9,37.1,118/79,Low SpO2. Do deep breathing or go outside.
58.4,91.6,37.8,103/69,Low SpO2. Do deep breathing or go outside.
58.3,98.5,36.8,95/66,All good. Stay healthy!
57.6,91.8,35.9,100/62,Low SpO2. Do deep breathing or go outside.
61.2,90.5,37.9,128/85,Low SpO2. Do deep breathing or go outside.
85.5,90.5,38.1,129/76,Low SpO2. Do deep breathing or go outside.
121.4,88.4,35.7,149/98,🚨 Emergency! Call for help.
109.0,91.8,38.6,110/83,You are overheating. Rest and hydrate.
66.8,90.1,38.9,129/79,Low SpO2. Do deep breathing or go outside.
109.3,87.7,36.8,110/75,🚨 Emergency! Call for help.
106.4,94.7,38.2,118/84,You are overheating. Rest and hydrate.
65.1,96.1,36.4,128/79,All good. Stay healthy!
80.8,88.7,38.3,120/70,🚨 Emergency! Call for help.
126.1,95.4,35.7,141/89,Elevated heart rate. Take a walk or rest.
121.9,97.4,38.3,148/97,You are overheating. Rest and hydrate.
91.4,88.2,36.6,127/82,🚨 Emergency! Call for help.
122.5,92.0,35.8,152/100,Low SpO2. Do deep breathing or go outside.
129.3,92.7,37.0,145/96,Low SpO2. Do deep breathing or go outside.
107.3,88.5,38.6,111/80,🚨 Emergency! Call for help.
111.7,94.7,38.0,137/85,You are overheating. Rest and hydrate.
86.5,88.8,35.9,126/85,🚨 Emergency! Call for help.
116.6,96.0,37.5,147/100,Elevated heart rate. Take a walk or rest.
123.8,86.3,37.0,143/91,🚨 Emergency! Call for help.
126.1,97.4,37.3,139/90,Elevated heart rate. Take a walk or rest.
103.8,97.3,38.6,115/79,You are overheating. Rest and hydrate.
117.1,98.5,37.6,154/99,Elevated heart rate. Take a walk or rest.
55.1,96.7,37.5,105/70,Slight fever. Drink water and avoid stress.
113.9,88.3,36.1,144/100,🚨 Emergency! Call for help.
105.7,85.4,36.6,111/71,🚨 Emergency! Call for help.
78.3,91.4,37.0,113/81,Low SpO2. Do deep breathing or go outside.
119.2,96.9,38.3,148/96,You are overheating. Rest and hydrate.
105.1,86.6,38.6,120/78,🚨 Emergency! Call for help.
75.8,93.4,36.9,129/80,Low SpO2. Do deep breathing or go outside.
88.3,95.1,36.2,112/70,All good. Stay healthy!
86.1,96.8,38.4,126/74,Slight fever. Drink water and avoid stress.
56.5,90.8,35.5,98/68,Low SpO2. Do deep breathing or go outside.
